age_bin,age_mid,mean_feedback,n_agents
"(11680.999, 199630.9]",188543.0,1.5714285714285714,147
"(199630.9, 236638.4]",217293.0,1.8843537414965987,147
"(236638.4, 254416.5]",253316.0,2.9523809523809526,147
"(254416.5, 256327.2]",255929.0,1.5510204081632653,147
"(256327.2, 261694.0]",258302.5,2.72972972972973,148
"(261694.0, 263010.8]",262370.0,2.0753424657534247,146
"(263010.8, 264030.0]",263627.5,2.76,150
"(264030.0, 264097.0]",264073.5,1.13013698630137,146
"(264097.0, 264133.1]",264119.0,1.103448275862069,145
"(264133.1, 265216.0]",264192.0,1.08843537414966,147
